PG.ProteinGroups	PG.Genes	[1] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S1_S3-A1_1_20231.d.PG.Quantity	[2] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S2_S3-A2_1_20232.d.PG.Quantity	[3] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S3_S3-A3_1_20233.d.PG.Quantity	[4] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S4_S3-A4_1_20234.d.PG.Quantity	[5] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S5_S3-A5_1_20235.d.PG.Quantity	[6] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S6_S3-A6_1_20236.d.PG.Quantity	[7] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S7_S3-A7_1_20237.d.PG.Quantity	[8] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S8_S3-A8_1_20238.d.PG.Quantity
A0A087WPF7	Auts2	29.421062469482422	60.24360275268555	32.121944427490234	49.51519012451172	40.27425003051758	30.579620361328125	31.06132698059082	38.558876037597656
A0A088MLT8;P0DPB4	Iqcj-Schip1;Schip1	20.528701782226562	15.464713096618652	25.853315353393555	24.931804656982422	26.585208892822266	22.962932586669922	31.52232551574707	38.01432800292969
A0A338P6K9	Qser1	173.21383666992188	192.19618225097656	168.33297729492188	133.7018280029297	181.294189453125	149.70379638671875	219.73667907714844	208.77671813964844
A0A7N9VSG0	Afg2b	71.1574935913086	57.630706787109375	63.62370681762695	62.52566909790039	75.21131896972656	66.8459243774414	69.32595825195312	71.63947296142578
A1A5B6	Tbc1d25	294.17816162109375	278.98480224609375	280.72784423828125	291.345458984375	249.8118133544922	259.9457702636719	262.1788330078125	262.5368347167969
A1L3P4	Slc9a6	57.685791015625	96.17346954345703	92.916259765625	69.32510375976562	80.28865814208984	34.04363250732422	54.95982360839844	48.05671691894531
A2A432	Cul4b	831.7724609375	1098.91259765625	1092.2166748046875	1083.64599609375	980.6563720703125	961.6126708984375	993.074462890625	996.0596923828125
A2A4P0	Dhx8	245.69766235351562	269.1042785644531	256.4456481933594	278.168701171875	244.25245666503906	225.7488250732422	241.2714385986328	238.27700805664062
A2A5K6	Znf335	79.97783660888672	83.20576477050781	72.13579559326172	57.775421142578125	78.58354187011719	72.15171813964844	76.27017974853516	80.13109588623047
A2A5R2	Arfgef2	188.7463836669922	260.02655029296875	253.75389099121094	261.246337890625	255.08250427246094	252.99200439453125	245.94166564941406	272.83892822265625
A2A5Z6	Smurf2	224.63865661621094	153.9738006591797	186.89524841308594	172.580322265625	150.83702087402344	116.629150390625	136.44898986816406	124.25978088378906
A2A690	Tanc2	35.229705810546875	51.85186004638672	48.549835205078125	62.5098991394043	58.460166931152344	66.1856918334961	69.69963073730469	72.47819519042969
A2A699	Fam171a2	37.82755661010742	32.5908088684082	38.61003875732422	28.22742462158203	37.39133071899414	44.25821304321289	47.94300079345703	43.45878601074219
A2A6A1	Gpatch8	67.64371490478516	108.94863891601562	106.41455841064453	103.9705810546875	86.53117370605469	98.90558624267578	129.81275939941406	100.23636627197266
A2A6Q5	Cdc27	501.6087646484375	462.0868835449219	456.47283935546875	378.8999328613281	453.2247619628906	519.2488403320312	479.9564514160156	450.92950439453125
A2A6T1	Cdr2l	157.63804626464844	172.60934448242188	184.29444885253906	177.16213989257812	194.01409912109375	184.94891357421875	165.4404296875	219.65586853027344
A2A791	Zmym4	147.2931365966797	146.80831909179688	171.58602905273438	206.6984405517578	179.64630126953125	154.65284729003906	192.39920043945312	181.59600830078125
A2A7S8	Nhsl3	220.11000061035156	157.18296813964844	125.20258331298828	121.8066635131836	180.04580688476562	222.78677368164062	204.84762573242188	171.38563537597656
A2A870	Fbf1	224.43548583984375	150.65939331054688	188.20443725585938	196.10804748535156	176.48989868164062	99.23096466064453	141.5093231201172	124.49836730957031
A2A8L1	Chd5	103.00808715820312	102.76948547363281	87.97734832763672	96.49579620361328	102.56111145019531	105.55821990966797	82.80828094482422	89.41694641113281
A2A8L5	Ptprf	211.71041870117188	147.87367248535156	156.14389038085938	151.63253784179688	159.75750732421875	133.3552703857422	151.80615234375	143.96095275878906
A2A8U2	Tmem201	69.41553497314453	102.90769958496094	41.99922180175781	39.78228759765625	60.973289489746094	95.26606750488281	52.889251708984375	66.09361267089844
A2A8Z1	Osbpl9	219.13233947753906	168.1744384765625	167.2100372314453	166.0328826904297	187.1829071044922	196.52537536621094	209.10394287109375	206.10377502441406
A2A9A2	Dmrta2	45.221256256103516	42.176265716552734	39.74229049682617	30.162492752075195	26.003244400024414	39.5081901550293	37.07505798339844	15.668655395507812
A2A9C3	Szt2	136.85043334960938	151.9689483642578	155.09254455566406	138.62380981445312	140.6920928955078	112.24180603027344	124.67938995361328	139.39169311523438
A2AA28	Mettl23	35.29706573486328	NaN	22.656707763671875	17.25377082824707	12.211368560791016	24.778005599975586	42.84278106689453	41.1348991394043
A2AAE1	Bltp1	16.647253036499023	18.70445442199707	14.623802185058594	13.940878868103027	13.160298347473145	10.630090713500977	14.882556915283203	12.207728385925293
A2AAY5	Sh3pxd2b	1198.5711669921875	1068.968994140625	1115.314697265625	1064.94287109375	1068.1834716796875	1192.93017578125	1200.1636962890625	1283.5618896484375
A2ABV5	Med14	351.8894348144531	342.97314453125	395.8733215332031	388.73077392578125	411.84881591796875	303.5130615234375	324.4751281738281	362.8368225097656
